nom_dep,nom_partido,votos
AMAZONAS,COALICION PETRO PRESIDENTE,9324
AMAZONAS,VOTOS EN BLANCO,471
AMAZONAS,VOTOS NULOS,167
AMAZONAS,VOTOS NO MARCADOS,48
ANTIOQUIA,COALICION PETRO PRESIDENTE,556685
ANTIOQUIA,VOTOS EN BLANCO,139613
ANTIOQUIA,VOTOS NULOS,38417
ANTIOQUIA,VOTOS NO MARCADOS,4825
ARAUCA,COALICION PETRO PRESIDENTE,28928
ARAUCA,VOTOS EN BLANCO,3220
ARAUCA,VOTOS NULOS,1513
ARAUCA,VOTOS NO MARCADOS,238
ATLANTICO,PARTIDO CENTRO DEMOCRÁTICO,343629
ATLANTICO,VOTOS EN BLANCO,17746
ATLANTICO,VOTOS NULOS,4834
ATLANTICO,VOTOS NO MARCADOS,612
BOGOTA D.C.,PARTIDO CENTRO DEMOCRÁTICO,1449092
BOGOTA D.C.,VOTOS EN BLANCO,200249
BOGOTA D.C.,VOTOS NULOS,38322
BOGOTA D.C.,VOTOS NO MARCADOS,1417
BOLIVAR,COALICION PETRO PRESIDENTE,316684
BOLIVAR,VOTOS EN BLANCO,12633
BOLIVAR,VOTOS NULOS,3944
BOLIVAR,VOTOS NO MARCADOS,784
BOYACA,COALICION PETRO PRESIDENTE,233784
BOYACA,VOTOS EN BLANCO,20682
BOYACA,VOTOS NULOS,8785
BOYACA,VOTOS NO MARCADOS,896
CALDAS,COALICION PETRO PRESIDENTE,121405
CALDAS,VOTOS EN BLANCO,26798
CALDAS,VOTOS NULOS,11507
CALDAS,VOTOS NO MARCADOS,1210
CAQUETA,COALICION PETRO PRESIDENTE,43256
CAQUETA,VOTOS EN BLANCO,4912
CAQUETA,VOTOS NULOS,1688
CAQUETA,VOTOS NO MARCADOS,274
CASANARE,COALICION PETRO PRESIDENTE,41448
CASANARE,VOTOS EN BLANCO,6270
CASANARE,VOTOS NULOS,2674
CASANARE,VOTOS NO MARCADOS,226
CAUCA,PARTIDO CENTRO DEMOCRÁTICO,160137
CAUCA,VOTOS EN BLANCO,13945
CAUCA,VOTOS NULOS,8985
CAUCA,VOTOS NO MARCADOS,1421
CESAR,COALICION PETRO PRESIDENTE,174256
CESAR,VOTOS EN BLANCO,8701
CESAR,VOTOS NULOS,4547
CESAR,VOTOS NO MARCADOS,414
CHOCO,PARTIDO CENTRO DEMOCRÁTICO,46472
CHOCO,VOTOS NULOS,2365
CHOCO,VOTOS EN BLANCO,2265
CHOCO,VOTOS NO MARCADOS,490
CONSULADOS,PARTIDO CENTRO DEMOCRÁTICO,180948
CONSULADOS,COALICION PETRO PRESIDENTE,69553
CONSULADOS,VOTOS EN BLANCO,8347
CONSULADOS,VOTOS NULOS,542
CONSULADOS,VOTOS NO MARCADOS,107
CORDOBA,COALICION PETRO PRESIDENTE,299596
CORDOBA,VOTOS EN BLANCO,9215
CORDOBA,VOTOS NULOS,4537
CORDOBA,VOTOS NO MARCADOS,854
CUNDINAMARCA,COALICION PETRO PRESIDENTE,450382
CUNDINAMARCA,VOTOS EN BLANCO,54650
CUNDINAMARCA,VOTOS NULOS,23271
CUNDINAMARCA,VOTOS NO MARCADOS,1185
GUAINIA,COALICION PETRO PRESIDENTE,4097
GUAINIA,VOTOS EN BLANCO,321
GUAINIA,VOTOS NULOS,117
GUAINIA,VOTOS NO MARCADOS,20
GUAVIARE,COALICION PETRO PRESIDENTE,9839
GUAVIARE,VOTOS EN BLANCO,1407
GUAVIARE,VOTOS NULOS,580
GUAVIARE,VOTOS NO MARCADOS,75
HUILA,COALICION PETRO PRESIDENTE,146103
HUILA,VOTOS EN BLANCO,15006
HUILA,VOTOS NULOS,5721
HUILA,VOTOS NO MARCADOS,595
LA GUAJIRA,COALICION PETRO PRESIDENTE,103547
LA GUAJIRA,VOTOS EN BLANCO,3537
LA GUAJIRA,VOTOS NULOS,2404
LA GUAJIRA,VOTOS NO MARCADOS,282
MAGDALENA,COALICION PETRO PRESIDENTE,201845
MAGDALENA,VOTOS EN BLANCO,8543
MAGDALENA,VOTOS NULOS,3800
MAGDALENA,VOTOS NO MARCADOS,433
META,COALICION PETRO PRESIDENTE,131607
META,VOTOS EN BLANCO,17263
META,VOTOS NULOS,7320
META,VOTOS NO MARCADOS,473
NARIÑO,PARTIDO CENTRO DEMOCRÁTICO,192387
NARIÑO,VOTOS EN BLANCO,14989
NARIÑO,VOTOS NULOS,7441
NARIÑO,VOTOS NO MARCADOS,1259
NORTE DE SANTANDER,COALICION PETRO PRESIDENTE,112763
NORTE DE SANTANDER,VOTOS EN BLANCO,25229
NORTE DE SANTANDER,VOTOS NULOS,6698
NORTE DE SANTANDER,VOTOS NO MARCADOS,1027
PUTUMAYO,PARTIDO CENTRO DEMOCRÁTICO,30912
PUTUMAYO,VOTOS EN BLANCO,2762
PUTUMAYO,VOTOS NULOS,1450
PUTUMAYO,VOTOS NO MARCADOS,232
QUINDIO,COALICION PETRO PRESIDENTE,77910
QUINDIO,VOTOS EN BLANCO,15156
QUINDIO,VOTOS NULOS,5752
QUINDIO,VOTOS NO MARCADOS,479
RISARALDA,COALICION PETRO PRESIDENTE,136655
RISARALDA,VOTOS EN BLANCO,23957
RISARALDA,VOTOS NULOS,9258
RISARALDA,VOTOS NO MARCADOS,1042
SAN ANDRES,COALICION PETRO PRESIDENTE,5282
SAN ANDRES,VOTOS EN BLANCO,574
SAN ANDRES,VOTOS NULOS,78
SAN ANDRES,VOTOS NO MARCADOS,17
SANTANDER,COALICION PETRO PRESIDENTE,343052
SANTANDER,VOTOS EN BLANCO,44174
SANTANDER,VOTOS NULOS,14164
SANTANDER,VOTOS NO MARCADOS,1218
SUCRE,PARTIDO CENTRO DEMOCRÁTICO,171494
SUCRE,VOTOS EN BLANCO,4805
SUCRE,VOTOS NULOS,2403
SUCRE,VOTOS NO MARCADOS,508
TOLIMA,COALICION PETRO PRESIDENTE,174289
TOLIMA,VOTOS EN BLANCO,21706
TOLIMA,VOTOS NULOS,9939
TOLIMA,VOTOS NO MARCADOS,981
VALLE,PARTIDO CENTRO DEMOCRÁTICO,747733
VALLE,VOTOS EN BLANCO,78213
VALLE,VOTOS NULOS,29949
VALLE,VOTOS NO MARCADOS,2286
VAUPES,PARTIDO CENTRO DEMOCRÁTICO,3094
VAUPES,VOTOS EN BLANCO,134
VAUPES,VOTOS NULOS,56
VAUPES,VOTOS NO MARCADOS,10
VICHADA,COALICION PETRO PRESIDENTE,5364
VICHADA,VOTOS EN BLANCO,431
VICHADA,VOTOS NULOS,145
VICHADA,VOTOS NO MARCADOS,31
