CODIGO,DEPARTAMENTO,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,ET_Indigena_Norm,ET_Gitano_Norm,ET_Raizal_Norm,ET_Palenquero_Norm,ET_Negro_Norm,ET_NOETNIA_Norm,ET_SININF_Norm
05,Antioquia,37398,140,572,183,310688,5527564,54947,0.0063,0.0000,0.0001,0.0000,0.0524,0.9319,0.0093
08,Atlantico,39045,101,470,851,138770,2133725,23472,0.0167,0.0000,0.0002,0.0004,0.0594,0.9132,0.0100
11,"Bogota, D.C.",18560,571,1046,218,65069,6928507,135569,0.0026,0.0001,0.0001,0.0000,0.0091,0.9691,0.0190
13,Bolivar,5199,31,571,3988,314681,1567113,11873,0.0027,0.0000,0.0003,0.0021,0.1653,0.8233,0.0062
15,Boyaca,6877,17,62,16,3880,1103278,10360,0.0061,0.0000,0.0001,0.0000,0.0035,0.9811,0.0092
17,Caldas,55632,37,107,30,14447,837707,6824,0.0608,0.0000,0.0001,0.0000,0.0158,0.9157,0.0075
18,Caqueta,8402,20,30,14,4947,324063,10866,0.0241,0.0001,0.0001,0.0000,0.0142,0.9303,0.0312
19,Cauca,307692,38,92,86,244525,672189,10912,0.2490,0.0000,0.0001,0.0001,0.1979,0.5440,0.0088
20,Cesar,50975,20,121,75,142149,890104,10139,0.0466,0.0000,0.0001,0.0001,0.1300,0.8139,0.0093
23,Cordoba,202606,142,167,77,102237,1237579,9265,0.1305,0.0001,0.0001,0.0000,0.0659,0.7974,0.0060
25,Cundinamarca,9897,95,146,59,12757,2718390,27453,0.0036,0.0000,0.0001,0.0000,0.0046,0.9818,0.0099
27,Choco,68366,36,130,124,337160,20866,27677,0.1505,0.0001,0.0003,0.0003,0.7421,0.0459,0.0609
41,Huila,12120,35,43,29,4971,976255,8401,0.0121,0.0000,0.0000,0.0000,0.0050,0.9744,0.0084
44,La Guajira,389883,29,108,111,60246,358937,9066,0.4764,0.0000,0.0001,0.0001,0.0736,0.4386,0.0111
47,Magdalena,20536,39,93,80,106114,1124721,8959,0.0163,0.0000,0.0001,0.0001,0.0842,0.8923,0.0071
50,Meta,20024,32,94,30,8460,855796,16784,0.0222,0.0000,0.0001,0.0000,0.0094,0.9496,0.0186
52,Narino,206239,141,114,101,232242,867459,20291,0.1555,0.0001,0.0001,0.0001,0.1751,0.6539,0.0153
54,Norte de Santander,4510,238,38,22,5276,1315612,12047,0.0034,0.0002,0.0000,0.0000,0.0039,0.9835,0.0090
63,Quindio,2854,6,21,2,5990,491947,4791,0.0056,0.0000,0.0000,0.0000,0.0118,0.9730,0.0095
66,Risaralda,29637,18,94,29,16533,782335,6114,0.0355,0.0000,0.0001,0.0000,0.0198,0.9372,0.0073
68,Santander,1219,347,150,49,22416,1946369,21479,0.0006,0.0002,0.0001,0.0000,0.0113,0.9771,0.0108
70,Sucre,104878,134,135,46,102654,647511,4767,0.1219,0.0002,0.0002,0.0001,0.1193,0.7528,0.0055
73,Tolima,45156,157,60,37,4991,1155632,11467,0.0371,0.0001,0.0000,0.0000,0.0041,0.9492,0.0094
76,Valle del Cauca,30659,136,443,290,644580,3045562,40559,0.0081,0.0000,0.0001,0.0001,0.1713,0.8095,0.0108
81,Arauca,6229,4,51,13,9963,218633,1853,0.0263,0.0000,0.0002,0.0001,0.0421,0.9235,0.0078
85,Casanare,6429,11,28,13,5977,358837,3333,0.0172,0.0000,0.0001,0.0000,0.0160,0.9578,0.0089
86,Putumayo,50013,17,12,30,10008,213515,3882,0.1802,0.0001,0.0000,0.0001,0.0361,0.7695,0.0140
88,"Archipielago de San Andres, Providencia y Santa Catalina",20,0,20308,10,6528,20640,328,0.0004,0.0000,0.4246,0.0002,0.1365,0.4315,0.0069
91,Amazonas,35627,5,13,0,466,23829,2258,0.5728,0.0001,0.0002,0.0000,0.0075,0.3831,0.0363
94,Guainia,27780,5,5,4,442,8164,1182,0.7392,0.0001,0.0001,0.0001,0.0118,0.2172,0.0315
95,Guaviare,6269,3,5,5,2895,56193,1657,0.0935,0.0000,0.0001,0.0001,0.0432,0.8384,0.0247
97,Vaupes,24102,0,10,8,239,3679,925,0.8322,0.0000,0.0003,0.0003,0.0083,0.1270,0.0319
99,Vichada,41919,1,5,5,558,26700,2217,0.5871,0.0000,0.0001,0.0001,0.0078,0.3739,0.0310
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
