CODIGO,DEPARTAMENTO,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SAN_Inodoro-alcantarillado_Norm,SAN_Inodoro-pozo_septico_Norm,SAN_Inodoro_sin_conexion_Norm,SAN_Letrina_Norm,SAN_Inodoro-fuentes_de_agua_Norm,SAN_Sin_servicio_sanitario_Norm,SAN_SININF_Norm
05,Antioquia,1563592,197767,43731,4295,77098,34531,12569,0.809,0.102,0.023,0.002,0.040,0.018,0.007
08,Atlantico,503712,74413,1982,1397,2026,11123,3526,0.842,0.124,0.003,0.002,0.003,0.019,0.006
11,"Bogota,_D.C.",2287247,20782,1826,257,4537,1310,29231,0.975,0.009,0.001,0.000,0.002,0.001,0.012
13,Bolivar,254361,185116,5455,6645,3189,51816,2587,0.500,0.364,0.011,0.013,0.006,0.102,0.005
15,Boyaca,226936,101767,17279,1377,3826,14449,3477,0.615,0.276,0.047,0.004,0.010,0.039,0.009
17,Caldas,241415,40454,5671,1535,10747,2768,1919,0.793,0.133,0.019,0.005,0.035,0.009,0.006
18,Caqueta,70401,26162,1950,515,2905,6749,1843,0.637,0.237,0.018,0.005,0.026,0.061,0.017
19,Cauca,158093,143995,6698,19568,8834,28187,2418,0.430,0.392,0.018,0.053,0.024,0.077,0.007
20,Cesar,214993,52810,2521,723,1987,21580,1921,0.725,0.178,0.009,0.002,0.007,0.073,0.006
23,Cordoba,164103,172299,5519,12935,3698,51286,2039,0.398,0.418,0.013,0.031,0.009,0.125,0.005
25,Cundinamarca,678622,191329,9278,863,5325,7902,6421,0.754,0.213,0.010,0.001,0.006,0.009,0.007
27,Choco,22720,32040,6671,929,20952,39403,5410,0.177,0.250,0.052,0.007,0.164,0.308,0.042
41,Huila,202261,68851,10710,949,8585,7900,2395,0.671,0.228,0.036,0.003,0.028,0.026,0.008
44,La_Guajira,87353,34363,2832,1387,857,86949,1126,0.407,0.160,0.013,0.006,0.004,0.405,0.005
47,Magdalena,164026,113046,3268,3756,2040,31141,2029,0.514,0.354,0.010,0.012,0.006,0.098,0.006
50,Meta,221496,50680,1205,453,2350,9397,3179,0.767,0.176,0.004,0.002,0.008,0.033,0.011
52,Narino,191904,121098,14129,23528,17523,35387,3707,0.471,0.297,0.035,0.058,0.043,0.087,0.009
54,Norte_de_Santander,299409,46856,10028,1361,9209,14460,3392,0.778,0.122,0.026,0.004,0.024,0.038,0.009
63,Quindio,150478,15929,905,116,908,431,1287,0.885,0.094,0.005,0.001,0.005,0.003,0.008
66,Risaralda,234068,23726,2331,730,8439,2456,1509,0.857,0.087,0.009,0.003,0.031,0.009,0.006
68,Santander,452581,113078,15062,892,10808,11248,4707,0.744,0.186,0.025,0.001,0.018,0.018,0.008
70,Sucre,126372,63347,3304,1373,720,32909,1310,0.551,0.276,0.014,0.006,0.003,0.143,0.006
73,Tolima,293567,72048,17022,1658,6918,11596,4075,0.722,0.177,0.042,0.004,0.017,0.028,0.010
76,Valle_del_Cauca,1102719,86150,7549,3193,17664,4436,9859,0.895,0.070,0.006,0.003,0.014,0.004,0.008
81,Arauca,39648,23932,636,464,210,5509,595,0.558,0.337,0.009,0.007,0.003,0.078,0.008
85,Casanare,86128,28680,640,363,198,3079,1091,0.717,0.239,0.005,0.003,0.002,0.026,0.009
86,Putumayo,48473,27653,1757,1242,3068,8551,764,0.530,0.302,0.019,0.014,0.034,0.093,0.008
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",2423,13301,77,19,64,241,72,0.150,0.821,0.005,0.001,0.004,0.015,0.004
91,Amazonas,4867,6121,439,479,720,2194,602,0.316,0.397,0.028,0.031,0.047,0.142,0.039
94,Guainia,2372,3196,143,149,60,3250,194,0.253,0.341,0.015,0.016,0.006,0.347,0.021
95,Guaviare,9577,8202,259,104,284,3359,361,0.432,0.370,0.012,0.005,0.013,0.152,0.016
97,Vaupes,1974,1032,57,34,37,3448,247,0.289,0.151,0.008,0.005,0.005,0.505,0.036
99,Vichada,882,8416,118,465,77,7375,366,0.050,0.476,0.007,0.026,0.004,0.417,0.021
