CODIGO,DEPARTAMENTO,Pareja_joven_sin_hijos,Etapa_inicial,Etapa_de_expansion_,Etapa_de_consolidacion_,Etapa_de_salida_,Pareja_mayor_sin_hijos,Pareja_joven_sin_hijos_Norm,Etapa_inicial_Norm,Etapa_de_expansion__Norm,Etapa_de_consolidacion__Norm,Etapa_de_salida__Norm,Pareja_mayor_sin_hijos_Norm
05,Antioquia,93562,141922,218681,400753,486460,157035,0.062,0.095,0.146,0.267,0.325,0.105
08,Atlantico,24163,57870,84060,151306,168550,46253,0.045,0.109,0.158,0.284,0.317,0.087
11,"Bogota,_D.C.",128079,193476,280997,487132,578681,173970,0.070,0.105,0.153,0.264,0.314,0.094
13,Bolivar,20450,55642,77923,132261,116787,47328,0.045,0.124,0.173,0.294,0.259,0.105
15,Boyaca,9099,25496,46561,87248,75192,42074,0.032,0.089,0.163,0.305,0.263,0.147
17,Caldas,11550,18760,31035,60002,79212,33995,0.049,0.080,0.132,0.256,0.338,0.145
18,Caqueta,4816,11030,17512,28744,14419,9033,0.056,0.129,0.205,0.336,0.169,0.106
19,Cauca,12126,43663,59641,95208,75465,36363,0.038,0.135,0.185,0.295,0.234,0.113
20,Cesar,12837,36204,50498,82513,53261,22516,0.050,0.140,0.196,0.320,0.207,0.087
23,Cordoba,18715,49186,66380,111985,90653,47612,0.049,0.128,0.173,0.291,0.236,0.124
25,Cundinamarca,36620,75449,125286,209200,182046,91753,0.051,0.105,0.174,0.290,0.253,0.127
27,Choco,5480,13721,21573,32565,15803,8703,0.056,0.140,0.220,0.333,0.162,0.089
41,Huila,10366,29688,45239,79947,58310,30564,0.041,0.117,0.178,0.315,0.229,0.120
44,La_Guajira,8618,32680,39573,60496,31831,9983,0.047,0.178,0.216,0.330,0.174,0.054
47,Magdalena,13034,35440,50976,92275,68600,28349,0.045,0.123,0.177,0.320,0.238,0.098
50,Meta,12786,26301,41878,69977,48744,25599,0.057,0.117,0.186,0.311,0.216,0.114
52,Narino,11259,38865,58235,104661,95125,37575,0.033,0.112,0.168,0.303,0.275,0.109
54,Norte_de_Santander,15325,34933,54604,95375,88523,28910,0.048,0.110,0.172,0.300,0.279,0.091
63,Quindio,6880,10433,16625,32442,45474,18835,0.053,0.080,0.127,0.248,0.348,0.144
66,Risaralda,12122,18611,29597,54490,70808,27455,0.057,0.087,0.139,0.256,0.332,0.129
68,Santander,24496,52853,82076,138398,142483,62208,0.049,0.105,0.163,0.275,0.284,0.124
70,Sucre,7977,22097,33653,59128,55915,21629,0.040,0.110,0.168,0.295,0.279,0.108
73,Tolima,13471,30068,49132,88094,82939,47851,0.043,0.097,0.158,0.283,0.266,0.154
76,Valle_del_Cauca,50939,86545,137280,243983,321355,122662,0.053,0.090,0.143,0.253,0.334,0.127
81,Arauca,3300,7910,11678,18288,10800,5240,0.058,0.138,0.204,0.320,0.189,0.092
85,Casanare,5543,12819,19633,30987,16230,9573,0.058,0.135,0.207,0.327,0.171,0.101
86,Putumayo,3725,10788,15371,24151,10228,7472,0.052,0.150,0.214,0.337,0.143,0.104
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",555,1119,1832,3067,3843,1694,0.046,0.092,0.151,0.253,0.317,0.140
91,Amazonas,579,1771,2591,5057,2108,840,0.045,0.137,0.200,0.391,0.163,0.065
94,Guainia,486,1244,1720,3070,1122,494,0.060,0.153,0.211,0.377,0.138,0.061
95,Guaviare,1004,1850,3254,5526,2602,1706,0.063,0.116,0.204,0.347,0.163,0.107
97,Vaupes,280,742,1120,2288,854,359,0.050,0.131,0.198,0.405,0.151,0.064
99,Vichada,1130,2769,3313,5201,1612,1188,0.074,0.182,0.218,0.342,0.106,0.078
,,,,,,,,,,,,,
,,,,,,,,,,,,,
